week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
4,5,469.l.83828.t.11,11,Zach,0,55/226,31,7,34,6,87,.243,.325,33.1,37,7.83,1.83,2
4,6,469.l.83828.t.8,8,Ben,0,53/236,26,7,26,4,85,.225,.282,37.1,39,2.65,1.21,5
4,6,469.l.83828.t.9,9,Matt,1,53/197,34,7,22,6,87,.269,.364,43.2,42,3.71,1.24,0
5,0,469.l.83828.t.1,1,Jose,0,60/197,35,10,25,7,101,.305,.388,69.2,63,6.85,1.64,2
5,0,469.l.83828.t.7,7,nathan,1,61/232,33,10,30,4,105,.263,.373,80.2,80,5.13,1.33,1
5,1,469.l.83828.t.2,2,Jahn,-1,58/203,34,14,39,4,116,.286,.339,53.0,38,4.92,1.38,0
5,1,469.l.83828.t.10,10,Ian,-1,63/250,37,12,38,3,111,.252,.323,56.1,39,2.72,1.28,3
5,2,469.l.83828.t.3,3,quinn,1,70/217,38,14,35,10,126,.323,.403,51.0,46,3.88,1.22,2
5,2,469.l.83828.t.9,9,Matt,0,53/215,28,7,24,3,80,.247,.319,92.0,83,5.09,1.27,0
5,3,469.l.83828.t.4,4,gabriel,0,62/236,30,7,38,4,95,.263,.327,52.2,43,4.10,1.22,6
5,3,469.l.83828.t.11,11,Zach,1,63/243,37,12,40,11,112,.259,.321,32.0,44,2.25,1.31,8
5,4,469.l.83828.t.5,5,Dante,0,66/246,40,8,26,7,103,.268,.343,66.1,61,3.93,1.15,2
5,4,469.l.83828.t.8,8,Ben,1,60/223,34,8,41,8,94,.269,.339,45.2,47,1.58,0.85,5
5,5,469.l.83828.t.6,6,david,1,59/204,38,11,37,1,108,.289,.368,28.1,27,4.76,1.31,2
5,5,469.l.83828.t.14,14,adam,0,48/210,28,7,24,5,80,.229,.328,75.1,79,4.30,1.55,6
5,6,469.l.83828.t.12,12,JT,1,52/223,34,10,26,7,91,.233,.346,71.0,67,4.44,1.38,0
5,6,469.l.83828.t.13,13,dawson,0,59/217,26,7,21,5,88,.272,.360,53.2,55,2.85,1.01,5
6,0,469.l.83828.t.1,1,Jose,1,58/215,29,8,27,7,93,.270,.344,49.0,55,3.67,1.14,1
